,index,dissimvalues,pairtype,subjnum,age
154,within,0.9879181667815781,within,sub-1012,kid
155,boundary,0.7500672063701852,shared,sub-1012,kid
156,within,0.5143647540464109,within,sub-1012,kid
157,boundary,0.706611747974808,unique,sub-1012,kid
158,within,0.8001685764187572,within,sub-1012,kid
159,boundary,0.5929987850346117,shared,sub-1012,kid
160,within,0.7189951865858608,within,sub-1015,kid
161,boundary,0.8863443343399093,unique,sub-1015,kid
162,within,0.5993165188050728,within,sub-1015,kid
163,boundary,1.2144560084663791,unique,sub-1015,kid
164,within,0.918274986233219,within,sub-1015,kid
165,boundary,1.5380399931442166,shared,sub-1015,kid
166,within,0.5791212969450232,within,sub-1015,kid
167,boundary,0.31818793945742374,unique,sub-1015,kid
168,within,1.0681136650811194,within,sub-1015,kid
169,boundary,0.8472363423648093,unique,sub-1015,kid
170,within,1.1593402007908413,within,sub-1015,kid
171,boundary,1.1939231585694687,shared,sub-1015,kid
172,within,0.8844261968802666,within,sub-1015,kid
173,boundary,1.3920716038886902,unique,sub-1015,kid
174,within,1.0926743215792902,within,sub-1015,kid
175,boundary,0.6430732491948541,shared,sub-1015,kid
176,within,0.6320966737004348,within,sub-1015,kid
177,boundary,0.26172605383913783,unique,sub-1015,kid
178,within,1.286193376487522,within,sub-1015,kid
179,boundary,0.3703761561876612,shared,sub-1015,kid
180,within,0.7801655755323639,within,sub-1016,kid
181,boundary,0.7474352470580511,unique,sub-1016,kid
182,within,1.1989107370912524,within,sub-1016,kid
183,boundary,0.3658609547753996,unique,sub-1016,kid
184,within,0.7156322767040177,within,sub-1016,kid
185,boundary,1.0029344476972795,shared,sub-1016,kid
186,within,0.7747751693496637,within,sub-1016,kid
187,boundary,0.8653054614491373,unique,sub-1016,kid
188,within,0.8590620678129423,within,sub-1016,kid
189,boundary,0.5955087548178597,unique,sub-1016,kid
190,within,0.6474452711827436,within,sub-1016,kid
191,boundary,0.19183262678670732,shared,sub-1016,kid
192,within,0.4586951634192393,within,sub-1016,kid
193,boundary,1.5901796941762212,unique,sub-1016,kid
194,within,0.9418184385910976,within,sub-1016,kid
195,boundary,1.0429906737005268,shared,sub-1016,kid
196,within,0.8052523195613176,within,sub-1016,kid
197,boundary,1.0802737625311136,unique,sub-1016,kid
198,within,1.1446826941759536,within,sub-1016,kid
199,boundary,0.6306715256134816,shared,sub-1016,kid
200,within,0.8577785788421785,within,sub-1017,kid
201,boundary,0.9271603073707075,unique,sub-1017,kid
202,within,0.5701038977828972,within,sub-1017,kid
203,boundary,0.5438289153268396,unique,sub-1017,kid
204,within,1.3902899441835608,within,sub-1017,kid
205,boundary,0.981828623914469,shared,sub-1017,kid
206,within,0.6182620473828855,within,sub-1017,kid
207,boundary,0.8429481419680103,unique,sub-1017,kid
208,within,1.1385215188448055,within,sub-1017,kid
209,boundary,1.1736095066701675,unique,sub-1017,kid
210,within,0.30328526788636834,within,sub-1017,kid
211,boundary,0.2422249172983394,shared,sub-1017,kid
212,within,1.3851415873887367,within,sub-1017,kid
213,boundary,0.37641745991750797,unique,sub-1017,kid
214,within,1.0914843413448707,within,sub-1017,kid
215,boundary,0.24000046409195297,shared,sub-1017,kid
216,within,0.3641131422873811,within,sub-1017,kid
217,boundary,0.395291975408532,unique,sub-1017,kid
218,within,0.6905320937865955,within,sub-1017,kid
219,boundary,0.39100044354376484,shared,sub-1017,kid
220,within,0.3788743759029025,within,sub-1019,kid
221,boundary,0.3938978246060737,unique,sub-1019,kid
222,within,0.1929881620764038,within,sub-1019,kid
223,boundary,0.5283103110644041,unique,sub-1019,kid
224,within,0.46264887019651657,within,sub-1019,kid
225,boundary,0.8950898344749959,shared,sub-1019,kid
226,within,0.45500448236993407,within,sub-1019,kid
227,boundary,0.9734533924560688,unique,sub-1019,kid
228,within,0.6384953991089652,within,sub-1019,kid
229,boundary,0.2649254759128381,unique,sub-1019,kid
230,within,0.29088107259822416,within,sub-1019,kid
231,boundary,0.8547396852035689,shared,sub-1019,kid
232,within,1.1524397723175184,within,sub-1019,kid
233,boundary,0.15275503668910184,unique,sub-1019,kid
234,within,0.6126844320860434,within,sub-1019,kid
235,boundary,0.4359748043548566,shared,sub-1019,kid
236,within,0.6245949334063555,within,sub-1019,kid
237,boundary,1.37613427694226,unique,sub-1019,kid
238,within,0.8765244140533704,within,sub-1019,kid
239,boundary,0.7496790152192758,shared,sub-1019,kid
240,within,0.06270989679619643,within,sub-1023,kid
241,boundary,1.0229597103921446,unique,sub-1023,kid
242,within,1.3910311220760996,within,sub-1023,kid
243,boundary,1.321556105518496,unique,sub-1023,kid
244,within,0.43893257383226114,within,sub-1023,kid
245,boundary,0.13071870501151883,shared,sub-1023,kid
